Image Name,BLIP Caption,Goal_1,Goal_2,Goal_3,TF-IDF_Goal_1,TF-IDF_Goal_2,TF-IDF_Goal_3,SBERT_Goal_1,SBERT_Goal_2,SBERT_Goal_3,Image-Goal_1,Image-Goal_2,Image-Goal_3,Goal 1 Label,Goal 2 Label,Goal 3 Label
0.jpg,a group of people working on computers in a lab,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0,0.0,0.0,-0.059713785,-0.042115904,-0.05520831,0.222900390625,0.2213134765625,0.193603515625,0,0,0
1.jpg,a man and woman walking through the woods,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0903009507126665,0.0762920864906728,0.029936684276385,-1.4495105e-05,0.0005663261,-0.016076008,0.1744384765625,0.171630859375,0.1510009765625,0,0,0
2.jpg,a man in a suit and tie speaking into a microphone,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0470758823684429,0.0398490134266663,0.0,-0.08112406,-0.033130992,-0.06297565,0.2017822265625,0.1932373046875,0.19873046875,0,0,0
3.jpg,a woman sitting at a desk with a laptop,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0371521585363039,0.0314833851323707,0.0310718190912067,-0.035998516,-0.020560058,-0.061147805,0.18408203125,0.1964111328125,0.1885986328125,0,0,0
4.jpg,a group of people sitting around a table,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0,0.0,0.0,-0.048341066,-0.047997087,-0.034762923,0.190673828125,0.187255859375,0.1884765625,0,0,0
5.jpg,a large flag flying in the air over a city,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0316335858986237,0.0268068507241943,0.0264564186031805,-0.020528924,0.0027843602,-0.08411647,0.1817626953125,0.172119140625,0.1514892578125,0,0,0
6.jpg,a woman and an older man looking at a computer screen,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0441876136850529,0.0374041382219185,0.0,-0.1118626,-0.028582722,-0.07972364,0.166748046875,0.1650390625,0.188720703125,0,0,0
7.jpg,a man in a white coat holding a red bag,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0,0.0,0.0,-0.041115537,-0.06033075,-0.05436122,0.2281494140625,0.2093505859375,0.1719970703125,0,0,0
8.jpg,a small glass bottle filled with liquid,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0371521585363039,0.0314833851323707,0.0310718190912067,-0.0043228865,-0.07034432,0.018558687,0.2222900390625,0.186279296875,0.202392578125,0,0,0
9.jpg,a man in a suit and tie standing in front of a blue wall,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0363740029845481,0.0307900364345481,0.0,-0.040629532,-0.038951796,-0.058109723,0.2001953125,0.1978759765625,0.1915283203125,0,0,0
10.jpg,a man in a suit and glasses talking to another man,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0397155271844223,0.0336185854920922,0.0,-0.066650346,0.017739166,-0.060928572,0.1973876953125,0.188232421875,0.17822265625,0,0,0
11.png,a black background with a white and red flower,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0903009507126665,0.0762920864906728,0.029936684276385,-0.027351689,-0.04681447,-0.037846882,0.2227783203125,0.2222900390625,0.2216796875,0,0,0
12.jpg,a group of people standing around a woman,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0,0.0,0.0,-0.06383656,-0.0230264,-0.031765096,0.16845703125,0.185302734375,0.2044677734375,0,0,0
13.jpg,a man and a little girl are playing together,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0506163007306403,0.0428459233464216,0.0,-0.042825505,0.017511886,-0.08013688,0.1737060546875,0.1898193359375,0.19140625,0,0,0
14.jpg,a man in a white coat holding a red and white flag,"By 2020, total hazardous and nonhazardous waste will be reduced by 15% compared with the 2012 baseline","By 2020, greenhouse gas emissions (Total Scope 1 and Scope 2) will be reduced by 20% compared with the 2012 baseline","By 2020, total water withdrawal (excluding non-contact cooling water) will be reduced by 5% compared with the 2012 baseline.",0.0397155271844223,0.0336185854920922,0.0,-0.089089274,-0.0740391,-0.0619416,0.2164306640625,0.2034912109375,0.1702880859375,0,0,0
